City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Speed of wind
0,ushuaia,40,AR,1556319600,52,-54.81,-68.31,12.75
1,east london,15,ZA,1556324458,94,-33.02,27.91,3.33
2,kodiak,90,US,1556324012,2,39.95,-94.76,4.18
3,avarua,100,CK,1556321400,74,-21.21,-159.78,14.99
4,chegdomyn,46,RU,1556324459,33,51.13,133.04,3.58
5,upernavik,98,GL,1556324459,64,72.79,-56.15,5.73
6,punta arenas,0,CL,1556323988,45,-53.16,-70.91,8.05
7,vardo,90,US,1556324306,54,39.62,-77.74,20.8
8,rikitea,88,PF,1556324460,85,-23.12,-134.97,21.18
9,jamestown,0,AU,1556324461,56,-33.21,138.6,6.13
10,tuktoyaktuk,90,CA,1556323200,85,69.44,-133.03,13.87
11,kamaishi,75,JP,1556319600,100,39.28,141.86,4.7
12,djambala,93,CG,1556324252,82,-2.55,14.76,2.55
13,amapa,20,HN,1556324412,59,15.09,-87.97,18.34
14,bambous virieux,20,MU,1556319600,69,-20.34,57.76,8.05
15,muisne,40,EC,1556319600,83,0.61,-80.02,5.82
16,sinnamary,97,GF,1556324253,75,5.38,-52.96,15.93
17,skibotn,20,NO,1556322600,86,69.39,20.27,4.7
18,khorinsk,4,RU,1556324253,49,52.16,109.78,3.29
19,mataura,99,NZ,1556323209,76,-46.19,168.86,10.76
20,saint-philippe,90,CA,1556324104,81,45.36,-73.48,14.99
21,ribeira grande,61,PT,1556324112,81,38.52,-28.7,14.79
22,new norfolk,75,AU,1556324194,50,-42.78,147.06,13.87
23,sao joao da barra,0,BR,1556319600,88,-21.64,-41.05,2.8
24,cape town,0,ZA,1556324165,93,-33.93,18.42,5.82
25,portland,20,US,1556323876,30,45.52,-122.67,14.99
26,hilo,90,US,1556324055,78,19.71,-155.08,3.36
27,barrow,75,AR,1556324133,89,-38.31,-60.23,4.99
28,mar del plata,100,AR,1556324126,46,-46.43,-67.52,13.58
29,atuona,5,PF,1556324464,75,-9.8,-139.03,17.05
30,nha trang,40,VN,1556321400,74,12.24,109.19,5.82
31,kahului,75,US,1556323539,45,20.89,-156.47,19.46
32,kazerun,0,IR,1556324255,40,29.62,51.65,1.83
33,kapaa,40,US,1556323696,58,22.08,-159.32,9.17
34,kaitangata,100,NZ,1556324058,62,-46.28,169.85,5.01
35,bluff,42,AU,1556324106,60,-23.58,149.07,13.44
36,bandraboua,40,YT,1556323200,83,-12.7,45.12,3.36
37,makasar,40,ID,1556324210,88,-6.28,106.88,4.7
38,hermanus,0,ZA,1556323275,94,-34.42,19.24,1.99
39,namibe,0,AO,1556324256,77,-15.19,12.15,11.54
40,maniitsoq,89,GL,1556324256,75,65.42,-52.9,12.48
41,hualmay,100,PE,1556324465,91,-11.1,-77.61,20.22
42,pisco,0,PE,1556323264,30,-13.71,-76.2,23.04
43,grindavik,75,IS,1556323474,93,63.84,-22.43,6.93
44,vanimo,98,PG,1556324256,71,-2.67,141.3,3.94
45,caraz,98,PE,1556324257,87,-9.05,-77.81,2.28
46,virginia beach,40,US,1556324445,100,36.85,-75.98,8.05
47,ponta do sol,19,BR,1556324128,92,-20.63,-46.0,3.11
48,saldanha,0,PT,1556324123,86,41.42,-6.55,3.71
49,mahebourg,20,MU,1556319600,69,-20.41,57.7,8.05
50,yellowknife,100,CA,1556323965,49,62.45,-114.38,13.0
51,lancaster,75,US,1556324240,71,40.04,-76.31,9.17
52,albany,90,US,1556324070,71,42.65,-73.75,5.82
53,saskylakh,42,RU,1556324224,93,71.97,114.09,5.66
54,kieta,65,PG,1556324468,66,-6.22,155.63,7.36
55,vaini,27,IN,1556324103,90,15.34,74.49,2.08
56,port elizabeth,90,US,1556324227,87,39.31,-74.98,11.41
57,chapais,90,CA,1556322060,93,49.78,-74.86,10.29
58,hobart,75,AU,1556323934,50,-42.88,147.33,13.87
59,sioux lookout,1,CA,1556323200,26,50.1,-91.92,4.7
60,lagoa,0,PT,1556324172,51,37.14,-8.45,6.93
61,bredasdorp,0,ZA,1556324194,93,-34.53,20.04,1.12
62,gondanglegi,64,ID,1556324259,85,-7.75,112.01,6.15
63,puerto ayora,20,EC,1556323227,78,-0.74,-90.35,13.87
64,lensk,99,RU,1556324260,86,60.71,114.91,10.54
65,saint george,40,GR,1556324004,87,39.45,22.34,1.32
66,kiunga,100,PG,1556324260,91,-6.12,141.3,1.9
67,kupang,40,ID,1556321400,74,-10.16,123.6,11.41
68,matamoros,1,US,1556324238,42,25.87,-97.51,13.87
69,arraial do cabo,28,BR,1556324107,82,-22.97,-42.02,14.9
70,mecca,0,SA,1556324004,65,21.43,39.83,3.24
71,darhan,98,MN,1556324261,57,49.49,105.92,3.29
72,puerto colombia,40,CO,1556324195,94,10.99,-74.96,6.93
73,hithadhoo,100,MV,1556323822,77,-0.6,73.08,9.84
74,nagaur,0,IN,1556324262,16,27.2,73.74,5.21
75,airai,82,TL,1556323877,62,-8.93,125.41,5.17
76,wajima,75,JP,1556319600,93,37.4,136.9,4.7
77,husavik,76,CA,1556324084,50,50.56,-96.99,5.99
78,kibiti,86,TZ,1556324262,97,-7.72,38.94,1.99
79,panacan,75,PH,1556319600,78,7.15,125.66,6.93
80,port lincoln,35,AU,1556324107,64,-34.72,135.86,5.59
81,trairi,100,BR,1556324263,94,-3.28,-39.27,2.62
82,ocampo,22,PH,1556324263,68,13.56,123.37,5.23
83,busselton,0,AU,1556324140,51,-33.64,115.35,17.74
84,aklavik,20,CA,1556319600,42,68.22,-135.01,4.7
85,khanpur,0,PK,1556324264,23,28.65,70.66,4.76
86,dwarka,0,IN,1556321400,28,28.58,77.04,4.7
87,marsh harbour,63,BS,1556323892,85,26.54,-77.06,13.04
88,alice springs,90,AU,1556321400,45,-23.7,133.88,10.29
89,brae,56,GB,1556320800,93,60.4,-1.35,17.22
90,kruisfontein,1,ZA,1556323899,96,-34.0,24.73,0.69
91,mersing,100,MY,1556324226,86,2.43,103.84,1.45
92,oakdale,1,US,1556323998,35,37.77,-120.85,3.36
93,petropavlovsk-kamchatskiy,0,RU,1556321400,38,53.05,158.65,11.18
94,marshfield,90,US,1556324238,100,42.09,-70.71,8.05
95,half moon bay,90,US,1556324221,93,37.46,-122.43,5.82
96,acapulco,75,MX,1556319000,74,16.86,-99.88,9.17
97,wladyslawowo,0,PL,1556323803,82,54.79,18.4,1.12
98,zakamensk,29,RU,1556324267,63,50.38,103.29,0.6
99,lompoc,75,US,1556323890,87,34.64,-120.46,5.82
100,bambari,44,CF,1556324267,73,5.77,20.68,6.67
101,resistencia,90,AR,1556319600,100,-27.45,-58.99,2.24
102,carupano,55,VE,1556324267,76,10.67,-63.26,5.08
103,nador,0,MA,1556323200,76,35.17,-2.93,2.24
104,avera,1,US,1556323919,30,33.19,-82.53,10.29
105,milot,39,HT,1556324268,79,19.61,-72.21,1.19
106,saint anthony,20,US,1556324142,18,43.97,-111.68,13.87
107,isabela,100,PH,1556324124,76,10.2,122.99,10.29
108,batagay-alyta,90,RU,1556324269,68,67.8,130.41,2.77
109,ayagoz,3,KZ,1556324269,63,47.96,80.43,14.83
110,coihaique,90,CL,1556319600,81,-45.58,-72.07,3.36
111,beloha,70,MG,1556323923,83,-25.17,45.06,6.6
112,mount gambier,90,AU,1556319600,76,-37.83,140.78,6.93
113,lasa,0,CY,1556323239,82,34.92,32.53,2.24
114,gusinoye ozero,19,RU,1556324271,54,51.11,106.26,1.52
115,chaplynka,0,UA,1556324271,45,46.36,33.54,4.83
116,san carlos de bariloche,75,AR,1556319600,66,-41.13,-71.31,8.05
117,tiksi,86,RU,1556324113,85,71.64,128.87,1.39
118,beyneu,7,KZ,1556324272,60,45.32,55.19,9.75
119,port alfred,1,ZA,1556324258,96,-33.59,26.89,2.42
120,faanui,87,PF,1556324102,77,-16.48,-151.75,13.27
121,qaanaaq,100,GL,1556324474,81,77.48,-69.36,4.23
122,sorland,0,NO,1556324229,61,67.67,12.69,9.48
123,churapcha,0,RU,1556324272,51,62.0,132.43,3.89
124,mareeba,40,AU,1556324017,70,-16.99,145.42,13.87
125,vostok,0,RU,1556324273,27,46.45,135.83,3.6
126,nizwa,0,OM,1556324273,39,22.93,57.53,2.77
127,boyuibe,90,BO,1556319600,100,-20.43,-63.28,4.7
128,carnarvon,0,ZA,1556324118,29,-30.97,22.13,3.36
129,necochea,100,AR,1556323912,94,-38.55,-58.74,3.0
130,susanville,40,US,1556323670,36,40.42,-120.65,13.87
131,upington,0,ZA,1556323200,20,-28.46,21.24,4.7
132,georgetown,40,GY,1556319600,78,6.8,-58.16,11.41
133,longyearbyen,90,NO,1556319000,92,78.22,15.63,3.36
134,touros,75,BR,1556319600,88,-5.2,-35.46,4.7
135,ankang,100,CN,1556324274,58,32.73,108.99,5.5
136,balaguer,1,ES,1556324179,76,41.79,0.81,11.41
137,truth or consequences,1,US,1556324185,13,33.13,-107.25,13.87
138,dingle,95,PH,1556324112,61,11.0,122.67,12.71
139,am timan,79,TD,1556324275,6,11.04,20.28,3.83
140,camacha,40,PT,1556321400,59,33.08,-16.33,16.11
141,nioro,0,GM,1556324275,19,13.79,-15.05,11.63
142,penticton,75,CA,1556323200,32,49.49,-119.59,6.93
143,moron,90,VE,1556324275,89,10.49,-68.2,3.15
144,manggar,100,ID,1556323629,86,-2.88,108.27,0.51
145,victoria,75,BN,1556321400,94,5.28,115.24,8.77
146,buraydah,40,SA,1556319600,60,26.33,43.97,8.05
147,zambezi,97,ZM,1556323901,64,-13.55,23.12,3.22
148,lebu,77,ET,1556319600,59,8.96,38.73,4.7
149,namatanai,97,PG,1556323911,81,-3.66,152.44,2.28
150,hirara,75,JP,1556319600,78,24.8,125.28,14.99
151,cidreira,92,BR,1556324128,87,-30.17,-50.22,14.99
152,moranbah,91,AU,1556324276,71,-22.0,148.04,14.58
153,souillac,90,FR,1556323930,87,45.6,-0.6,9.17
154,khatanga,71,RU,1556324133,94,71.98,102.47,14.81
155,kushiro,75,JP,1556319600,80,43.11,144.15,9.17
156,presidencia roque saenz pena,95,AR,1556324448,98,-26.79,-60.44,3.11
157,samarai,26,PG,1556324126,71,-10.62,150.67,5.57
158,howell,90,US,1556324246,87,40.17,-74.19,9.17
159,chokurdakh,100,RU,1556324130,96,70.62,147.9,11.59
160,patti,5,IT,1556324255,77,38.14,14.96,6.93
161,martinsburg,90,US,1556324142,54,39.46,-77.96,20.8
162,bassano,88,CA,1556324112,61,50.79,-112.47,7.99
163,gravdal,90,NO,1556324224,93,59.79,5.78,3.36
164,yulara,35,AU,1556319600,48,-25.24,130.99,12.75
165,ladario,0,PT,1556324166,92,40.7,-7.74,1.97
166,matara,100,PE,1556323893,82,-13.74,-72.9,5.41
167,guerrero negro,19,MX,1556324116,88,27.97,-114.04,15.64
168,tasiilaq,100,GL,1556322600,70,65.61,-37.64,23.04
169,fergus falls,1,US,1556324134,32,46.28,-96.08,9.17
170,provideniya,100,RU,1556324125,84,64.42,-173.23,7.18
171,nikolskoye,0,RU,1556324437,66,59.7,30.79,4.47
172,la ronge,75,CA,1556319600,44,55.1,-105.3,8.05
173,nacala,94,MZ,1556324279,95,-14.56,40.69,3.04
174,teguldet,47,RU,1556324279,82,57.31,88.17,5.06
175,penzance,84,GB,1556323818,70,50.12,-5.53,32.21
176,ilulissat,66,GL,1556322600,72,69.22,-51.1,3.36
177,macau,100,BR,1556324279,86,-5.11,-36.64,13.73
178,klaksvik,3,FO,1556322600,87,62.23,-6.59,24.16
179,newport,82,GB,1556323628,75,51.59,-3.0,16.11
180,hofn,100,IS,1556324479,99,64.25,-15.21,9.57
181,thinadhoo,91,MV,1556324281,72,0.53,72.93,8.95
182,isangel,40,VU,1556319600,70,-19.55,169.27,6.93
183,te anau,87,NZ,1556324282,81,-45.41,167.72,6.55
184,narsaq,40,GL,1556322600,47,60.91,-46.05,4.7
185,pangnirtung,95,CA,1556324282,96,66.15,-65.72,2.71
186,luderitz,0,NA,1556319600,100,-26.65,15.16,2.24
187,fortuna,0,ES,1556324129,76,38.18,-1.13,5.82
188,shimoda,75,JP,1556324112,87,34.7,138.93,21.92
189,bethel,1,US,1556319360,39,60.79,-161.76,6.93
190,katsuura,75,JP,1556322884,76,33.93,134.5,23.04
191,nagai,75,JP,1556324191,87,38.14,139.98,4.7
192,pevek,100,RU,1556324123,75,69.7,170.27,13.33
193,ongandjera,28,NA,1556324283,47,-17.88,15.07,2.37
194,oulu,0,FI,1556324103,86,65.01,25.47,2.24
195,ucluelet,75,CA,1556323993,71,48.94,-125.55,13.87
196,palmares do sul,93,BR,1556324182,94,-30.26,-50.51,18.25
197,cayenne,75,GF,1556321400,78,4.94,-52.33,1.12
198,taksimo,65,RU,1556323899,62,56.36,114.84,3.85
199,plettenberg bay,0,ZA,1556324283,95,-34.05,23.37,1.3
200,kasulu,100,TZ,1556324283,83,-4.57,30.11,1.07
201,dicabisagan,4,PH,1556324284,62,17.08,122.42,2.82
202,mount pleasant,1,US,1556324129,36,33.16,-94.97,4.36
203,bilma,0,NE,1556323910,8,18.69,12.92,5.46
204,poum,81,MK,1556324131,74,41.28,20.71,1.48
205,monywa,31,MM,1556324285,28,22.12,95.13,5.61
206,caravelas,37,BR,1556324138,87,-17.73,-39.27,4.54
207,hami,27,CN,1556323917,33,42.84,93.51,2.17
208,seminole,1,US,1556324196,41,32.72,-102.64,13.87
209,waiouru,36,NZ,1556324286,77,-39.48,175.67,9.64
210,batagay,0,RU,1556324117,52,67.65,134.64,0.65
211,ugoofaaru,80,MV,1556324286,72,5.67,73.0,5.57
